dst_mac,src,dst,protocol,dport,src_mac,sport
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,,,UDP,5353,19:bb:81:00:00:06,5353
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,20.190.175.152,192.168.1.7,TCP,57273,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,20.190.175.152,TCP,443,cc:47:40:eb:19:bb,57273
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,64279,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,64279
01:00:5e:7f:ff:fa,192.168.1.7,239.255.255.250,UDP,1900,cc:47:40:eb:19:bb,54411
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,UDP,443,cc:47:40:eb:19:bb,65363
cc:47:40:eb:19:bb,35.190.80.1,192.168.1.7,UDP,65363,7c:a9:6b:5a:f6:e0,443
01:00:5e:7f:ff:fa,192.168.1.7,239.255.255.250,UDP,1900,cc:47:40:eb:19:bb,54411
7c:a9:6b:5a:f6:e0,192.168.1.7,162.159.61.3,TCP,443,cc:47:40:eb:19:bb,65453
01:00:5e:7f:ff:fa,192.168.1.7,239.255.255.250,UDP,1900,cc:47:40:eb:19:bb,54411
cc:47:40:eb:19:bb,162.159.61.3,192.168.1.7,TCP,65453,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,104.26.7.95,TCP,443,cc:47:40:eb:19:bb,53081
cc:47:40:eb:19:bb,104.26.7.95,192.168.1.7,TCP,53081,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,104.26.7.95,192.168.1.7,TCP,53081,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,104.26.7.95,192.168.1.7,TCP,53081,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,104.26.7.95,TCP,443,cc:47:40:eb:19:bb,53081
7c:a9:6b:5a:f6:e0,192.168.1.7,104.26.7.95,TCP,443,cc:47:40:eb:19:bb,53081
cc:47:40:eb:19:bb,104.26.7.95,192.168.1.7,TCP,53081,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,104.26.7.95,TCP,443,cc:47:40:eb:19:bb,53081
cc:47:40:eb:19:bb,104.26.7.95,192.168.1.7,TCP,53081,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,104.26.7.95,TCP,443,cc:47:40:eb:19:bb,53081
cc:47:40:eb:19:bb,104.26.7.95,192.168.1.7,TCP,53081,7c:a9:6b:5a:f6:e0,443
01:00:5e:7f:ff:fa,192.168.1.7,239.255.255.250,UDP,1900,cc:47:40:eb:19:bb,54411
7c:a9:6b:5a:f6:e0,192.168.1.7,74.125.200.188,TCP,443,cc:47:40:eb:19:bb,57431
cc:47:40:eb:19:bb,74.125.200.188,192.168.1.7,TCP,57431,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,192.168.1.1,UDP,53,cc:47:40:eb:19:bb,55198
7c:a9:6b:5a:f6:e0,192.168.1.7,192.168.1.1,UDP,53,cc:47:40:eb:19:bb,65521
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
